driverId,name,ssn,location,certified,wage-plan
10,Robert Ortiz,728-53-1014,"2670 French Inlet Suite 063
Lake Phillip, VI 10478",Y,hours
11,Stephen Moore,712-71-2046,"837 Dawn Dale
Kellermouth, MD 53883",Y,miles
12,Alyssa Parker,654-05-2772,"9150 Lawson Drive
East Stacyside, FM 73362",N,hours
13,William Navarro,793-52-5877,"156 Thomas Corner Suite 886
Choiland, WA 88004",N,miles
14,Rebecca Maldonado,006-54-9697,"96822 Green Garden Apt. 127
New Jasonstad, NE 07535",N,miles
15,Veronica Barker,170-28-9784,"PSC 0271, Box 2848
APO AP 66757",Y,hours
16,Sarah Russell,677-19-1285,"03938 Craig Cove Apt. 517
Smithton, PW 11200",Y,hours
17,Angel Gonzalez,120-07-6119,"PSC 3258, Box 9607
APO AP 84498",N,hours
18,Mrs. Cathy Duncan,834-12-6364,"26743 Scott Mount
Ashleyland, FL 72664",N,hours
19,Cindy Zavala,444-65-8796,"3398 Cruz Locks Apt. 201
New Justinton, VA 55334",N,hours
20,Breanna Zhang,607-51-0667,"443 Becker Rue Suite 549
Donnaville, VA 33968",N,hours
21,Brian Smith,071-44-0889,"522 Walters Island Apt. 515
Jonesville, VT 77348",N,miles
22,Kelly Butler,813-76-4715,"377 Evelyn Row
Lake Andrea, WA 66761",Y,hours
23,Dwayne Moore,189-39-3340,"9952 Mcclure Glen
Shaneport, VA 56267",Y,miles
24,Haley Finley,280-82-7880,"36165 Cross Crossroad
East Peterstad, PR 36273",Y,hours
25,Benjamin Sanders,048-95-9105,"35006 Monroe Track
Lake Chadtown, HI 77802",N,hours
26,Justin Fowler,337-34-6512,"USNV Bolton
FPO AP 32481",N,hours
27,Thomas Hodges,105-36-4331,"63937 Pope Row Suite 827
Port Megan, LA 14346",N,miles
28,Briana Haynes,753-48-8456,"305 Jimenez Lakes Apt. 207
New Mathewhaven, GA 06066",N,miles
29,Michael Lopez,386-63-1048,"853 Rodriguez Forges Suite 820
East Pamelaborough, VA 21219",N,hours
30,Maria Foster,417-58-7339,"04290 Stephanie Via Suite 055
Shannonberg, IL 78849",Y,hours
